SECCION;IPCC_SECTOR;IPCC_DIVISION;IPCC_CLASS;IPCC_SUBCLASS;CONTAMINANTE;UNIDAD;CO2EQ1990;CO2EQ1991;CO2EQ1992;CO2EQ1993;CO2EQ1994;CO2EQ1995;CO2EQ1996;CO2EQ1997;CO2EQ1998;CO2EQ1999;CO2EQ2000;CO2EQ2001;CO2EQ2002;CO2EQ2003;CO2EQ2004;CO2EQ2005;CO2EQ2006;CO2EQ2007;CO2EQ2008;CO2EQ2009;CO2EQ2010;CO2EQ2011;CO2EQ2012;CO2EQ2013;CO2EQ2014;CO2EQ2015;CO2EQ2016;CO2EQ2017;CO2EQ2018;CO2EQ2019;CO2EQ2020;EM1990;EM1991;EM1992;EM1993;EM1994;EM1995;EM1996;EM1997;EM1998;EM1999;EM2000;EM2001;EM2002;EM2003;EM2004;EM2005;EM2006;EM2007;EM2008;EM2009;EM2010;EM2011;EM2012;EM2013;EM2014;EM2015;EM2016;EM2017;EM2018;EM2019;EM2020;;;;;;;;;;
INV;1;A;1;a;CH4;Gg;20,74;21,24;25,52;20,95;21,13;24,03;19,65;22,53;23,41;29,62;30,97;30,78;36,83;34,48;38,43;44,01;42,07;41,50;38,69;32,44;28,54;32,78;36,90;58,07;58,29;76,62;63,64;72,44;70,38;60,45;49,93;0,83;0,85;1,02;0,84;0,85;0,96;0,79;0,90;0,94;1,18;1,24;1,23;1,47;1,38;1,54;1,76;1,68;1,66;1,55;1,30;1,14;1,31;1,48;2,32;2,33;3,06;2,55;2,90;2,82;2,42;2,00;;;;;;;;;;
INV;1;A;1;a;CO2;Gg;65.593,30;66.302,11;73.967,32;68.146,39;66.917,21;72.754,60;59.552,84;71.642,00;71.352,09;86.513,41;91.192,44;85.717,27;100.063,75;92.920,16;102.061,53;112.056,48;103.321,36;109.417,34;92.294,76;76.684,15;59.890,67;73.853,34;78.700,33;58.781,36;62.870,86;73.530,80;58.222,43;68.257,99;59.008,04;43.570,73;32.025,47;65.593,30;66.302,11;73.967,32;68.146,39;66.917,21;72.754,60;59.552,84;71.642,00;71.352,09;86.513,41;91.192,44;85.717,27;100.063,75;92.920,16;102.061,53;112.056,48;103.321,36;109.417,34;92.294,76;76.684,15;59.890,67;73.853,34;78.700,33;58.781,36;62.870,86;73.530,80;58.222,43;68.257,99;59.008,04;43.570,73;32.025,47;;;;;;;;;;
INV;1;A;1;a;N2O;Gg;273,95;287,19;333,81;340,31;374,06;437,72;382,11;454,24;431,67;500,27;501,25;493,18;567,69;579,91;651,38;765,86;774,28;834,96;853,95;751,45;604,50;629,44;585,32;477,86;479,66;546,90;445,51;575,64;503,15;454,73;393,97;0,92;0,96;1,12;1,14;1,26;1,47;1,28;1,52;1,45;1,68;1,68;1,65;1,91;1,95;2,19;2,57;2,60;2,80;2,87;2,52;2,03;2,11;1,96;1,60;1,61;1,84;1,50;1,93;1,69;1,53;1,32;;;;;;;;;;
INV;1;A;1;b;CH4;Gg;7,71;7,82;8,24;8,18;9,03;9,06;9,30;9,41;9,27;9,42;9,37;9,52;9,20;8,99;9,29;8,78;8,76;8,75;8,40;7,57;7,06;6,70;6,34;5,85;5,53;5,49;5,40;5,26;5,30;5,01;4,59;0,31;0,31;0,33;0,33;0,36;0,36;0,37;0,38;0,37;0,38;0,37;0,38;0,37;0,36;0,37;0,35;0,35;0,35;0,34;0,30;0,28;0,27;0,25;0,23;0,22;0,22;0,22;0,21;0,21;0,20;0,18;;;;;;;;;;
INV;1;A;1;b;CO2;Gg;10.858,12;10.425,59;10.939,67;10.867,19;12.174,16;12.303,54;12.622,17;13.072,43;12.831,05;12.968,44;12.999,55;13.015,37;12.755,46;12.665,96;13.295,70;12.897,13;12.848,71;12.814,22;12.405,67;11.591,43;11.216,02;11.577,14;12.030,00;11.606,43;11.293,02;11.442,88;11.458,14;11.262,96;11.353,35;11.041,92;10.240,61;10.858,12;10.425,59;10.939,67;10.867,19;12.174,16;12.303,54;12.622,17;13.072,43;12.831,05;12.968,44;12.999,55;13.015,37;12.755,46;12.665,96;13.295,70;12.897,13;12.848,71;12.814,22;12.405,67;11.591,43;11.216,02;11.577,14;12.030,00;11.606,43;11.293,02;11.442,88;11.458,14;11.262,96;11.353,35;11.041,92;10.240,61;;;;;;;;;;
INV;1;A;1;b;N2O;Gg;12,72;12,95;13,82;14,05;15,64;15,83;16,29;16,32;15,99;16,26;16,19;16,96;16,28;15,82;16,01;15,22;15,28;15,05;14,44;12,66;11,50;10,30;9,06;7,79;7,14;6,94;6,70;6,54;6,55;6,09;5,56;0,04;0,04;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,06;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,04;0,04;0,03;0,03;0,03;0,02;0,02;0,02;0,02;0,02;0,02;0,02;;;;;;;;;;
INV;1;A;1;c;CH4;Gg;22,72;36,64;31,05;25,99;7,12;12,96;34,98;21,16;18,47;14,59;13,91;2,21;2,32;2,10;1,55;9,17;170,81;153,13;150,09;123,26;136,00;87,61;91,00;100,94;92,69;65,34;65,54;95,20;165,21;202,82;83,70;0,91;1,47;1,24;1,04;0,28;0,52;1,40;0,85;0,74;0,58;0,56;0,09;0,09;0,08;0,06;0,37;6,83;6,13;6,00;4,93;5,44;3,50;3,64;4,04;3,71;2,61;2,62;3,81;6,61;8,11;3,35;;;;;;;;;;
INV;1;A;1;c;CO2;Gg;2.089,29;2.200,75;1.836,53;1.870,97;1.743,53;1.517,43;1.355,83;1.393,26;1.316,54;1.291,47;1.081,43;1.000,10;891,76;946,29;964,08;1.028,17;4.594,97;4.323,94;4.216,80;3.233,74;3.461,50;2.003,31;1.864,32;1.955,13;1.453,13;747,66;777,05;1.245,41;1.147,99;1.740,19;751,68;2.089,29;2.200,75;1.836,53;1.870,97;1.743,53;1.517,43;1.355,83;1.393,26;1.316,54;1.291,47;1.081,43;1.000,10;891,76;946,29;964,08;1.028,17;4.594,97;4.323,94;4.216,80;3.233,74;3.461,50;2.003,31;1.864,32;1.955,13;1.453,13;747,66;777,05;1.245,41;1.147,99;1.740,19;751,68;;;;;;;;;;
INV;1;A;1;c;N2O;Gg;2,72;3,20;2,10;1,98;1,87;1,37;1,32;1,09;1,10;1,36;0,92;0,80;0,62;0,58;0,59;0,86;11,32;10,31;12,04;18,73;19,15;16,16;16,93;15,44;12,77;6,60;5,77;7,09;4,78;3,00;0,91;0,01;0,01;0,01;0,01;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,04;0,03;0,04;0,06;0,06;0,05;0,06;0,05;0,04;0,02;0,02;0,02;0,02;0,01;0,00;;;;;;;;;;
INV;1;A;2;a;CH4;Gg;3,91;6,13;4,24;3,85;6,91;13,63;9,40;4,24;3,60;2,23;4,77;27,91;14,90;42,08;58,55;30,18;2,14;2,24;2,83;2,84;2,71;2,23;3,51;1,61;1,82;7,14;1,66;6,08;8,83;3,73;1,65;0,16;0,25;0,17;0,15;0,28;0,55;0,38;0,17;0,14;0,09;0,19;1,12;0,60;1,68;2,34;1,21;0,09;0,09;0,11;0,11;0,11;0,09;0,14;0,06;0,07;0,29;0,07;0,24;0,35;0,15;0,07;;;;;;;;;;
