ACTIVITY;IPCC_SECTOR;IPCC_DIVISION;IPCC_CLASS;IPCC_SUBCLASS;IPCC_ACTIVITY;IPCC_SUBACTIVITY;DESCRIPTION
1;1;;;;;;ENERGY
1A;1;A;;;;;Fuel Combustion Activities
1A1;1;A;1;;;;Energy Industries
1A1a;1;A;1;a;;;Public electricity and heat generation
1A1ai;1;A;1;a;i;;Electricity generation
1A1aiii;1;A;1;a;iii;;Heat generation
1A1b;1;A;1;b;;;Petroleum refining
1A1c;1;A;1;c;;;Manufacture of Solid Fuels and Other Energy Industries
1A1ci;1;A;1;c;i;;Manufacture of solid fuels
1A1cii;1;A;1;c;ii;;Other Energy Industries / Oil and gas extraction
1A1ciii;1;A;1;c;iii;;Other energy industries
1A1civ;1;A;1;c;iv;;Other (please specify)
1A2;1;A;2;;;;Manufacturing Industries and Construction
1A2a;1;A;2;a;;;Iron and steel
1A2b;1;A;2;b;;;Non-ferrous metals
1A2c;1;A;2;c;;;Chemicals
1A2d;1;A;2;d;;;Pulp, paper and print
1A2e;1;A;2;e;;;Food processing, beverages and tobacco
1A2f;1;A;2;f;;;Non-metallic minerals
1A2g;1;A;2;g;;;Other (please specify)
1A2gi;1;A;2;g;i;;Manufacturing and machinery
1A2giii;1;A;2;g;iii;;Mining (excluding fuels) and quarrying
1A2giv;1;A;2;g;iv;;Wood and wood products
1A2gv;1;A;2;g;v;;Construction
1A2gvi;1;A;2;g;vi;;Textile and leather
1A2gvii;1;A;2;g;vii;;Non-specified industry
1A2gviii;1;A;2;g;viii;;Other (please specify)
1A3;1;A;3;;;;Transport
1A3a;1;A;3;a;;;Domestic aviation
1A3b;1;A;3;b;;;Road Transportation
1A3bi;1;A;3;b;i;;Cars
1A3bii;1;A;3;b;ii;;light duty trucks
1A3biii;1;A;3;b;iii;;Heavy duty trucks and buses
1A3biv;1;A;3;b;iv;;Motorcycles
1A3bv;1;A;3;b;v;;Evaporative Emissions from Vehicles / Other (please specify)
1A3c;1;A;3;c;;;Railways
1A3d;1;A;3;d;;;Domestic navigation
1A3e;1;A;3;e;;;Other Transportation (please specify)
1A3ei;1;A;3;e;i;;Pipeline transport
1A3eii;1;A;3;e;ii;;Off-road / Other (please specify)
1A4;1;A;4;;;;Other Sectors
1A4a;1;A;4;a;;;Commercial/Institutional
1A4ai;1;A;4;a;i;;Commercial/Institutional - Stationary combustion
1A4aii;1;A;4;a;ii;;Commercial and institutional.Mobile 
1A4b;1;A;4;b;;;Residential
1A4bi;1;A;4;b;i;;Residential - Stationary combustion
1A4bii;1;A;4;b;ii;;Residential - Mobile combustion
1A4c;1;A;4;c;;;Agriculture/Forestry/Fishing/Fish Farms
1A4ci;1;A;4;c;i;;Agriculture/Forestry/Fishing - Stationary
1A4cii;1;A;4;c;ii;;Agriculture/Forestry/Fishing - Off-road vehicles and other machinery
1A4ciii;1;A;4;c;iii;;Agriculture/Forestry/Fishing - Fishing
1A5;1;A;5;;;;Non-Specified
1A5a;1;A;5;a;;;Other - Stationary (please specify)
1A5b;1;A;5;b;;;Other - Mobile (please specify)
1B;1;B;;;;;Fugitive Emissions from Fuels
1B1;1;B;1;;;;Solid Fuels
1B1a;1;B;1;a;;;Coal Mining and Handling
1B1a1;1;B;1;a;1;;Underground Mines
1B1a1i;1;B;1;a;1;i;Underground mines - Mining activities
1B1a1ii;1;B;1;a;1;ii;Underground mines - Post-mining activities
1B1a1iii;1;B;1;a;1;iii;Underground mines - Abandoned underground mines
1B1a2;1;B;1;a;2;;Surface Mines
1B1a2i;1;B;1;a;2;i;Surface mines - Mining activities
1B1a2ii;1;B;1;a;2;ii;Surface mines - Post-mining activities
1B1b;1;B;1;b;;;Uncontrolled Combustion, and Burning Coal Dumps
1B2;1;B;2;;;;Oil and Natural Gas
1B2a;1;B;2;a;;;Oil
1B2a1;1;B;2;a;1;;Exploration
1B2a2;1;B;2;a;2;;Production
1B2a3;1;B;2;a;3;;Transport
1B2a4;1;B;2;a;4;;Refining/storage
1B2a5;1;B;2;a;5;;Distribution of oil products
1B2b;1;B;2;b;;;Natural Gas
1B2b1;1;B;2;b;1;;Exploration
1B2b2;1;B;2;b;2;;Production
1B2b3;1;B;2;b;3;;Processing
1B2b4;1;B;2;b;4;;Transmission and storage
1B2b5;1;B;2;b;5;;Distribution
1B2c;1;B;2;c;;;Venting and Flaring
1B2c1;1;B;2;c;1;;Venting
1B2c1i;1;B;2;c;1;i;Venting - Oil
1B2c1ii;1;B;2;c;1;ii;Venting - Gas
1B2c2;1;B;2;c;2;;Flaring
1B2c2i;1;B;2;c;2;i;Flaring - Oil
1B2c2ii;1;B;2;c;2;ii;Flaring - Gas
1D;1;D;;;;;International aviation and international navigation (international bunkers) and multilateral operations
1D1;1;D;1;;;;International aviation and international navigation (international bunkers)
1D1a;1;D;1;a;;;International Aviation - Jet kerosene
1D1a1;1;D;1;a;1;;International Aviation LTO - Jet kerosene
1D1a2;1;D;1;a;2;;International Aviation Crucero - Jet kerosene
1D1b;1;D;1;b;;;International Navigation - Residual fuel oil
2;2;;;;;;INDUSTRIAL PROCESSES AND PRODUCT USE
2A;2;A;;;;;Mineral Industry
2A1;2;A;1;;;;Cement Production
2A2;2;A;2;;;;Lime Production
2A3;2;A;3;;;;Glass Production
2A4;2;A;4;;;;Other Process Uses of Carbonates
2A4a;2;A;4;a;;;Ceramics
2A4b;2;A;4;b;;;Other Uses of Soda Ash
2A4c;2;A;4;c;;;Non Metallurgical Magnesia Production
2A4d;2;A;4;d;;;Other (please specify)
2B;2;B;;;;;Chemical Industry
2B1;2;B;1;;;;Ammonia Production
2B10;2;B;10;;;;Other (please specify)
2B10b;2;B;10;b;;;Hydrogen production
2B10c;2;B;10;c;;;Sulfuric acid production
2B2;2;B;2;;;;Nitric acid production
2B3;2;B;3;;;;Adipic acid production
2B4;2;B;4;;;;Caprolactam, Glyoxal and Glyoxylic Acid Production
2B4a;2;B;4;a;;;Caprolactam
2B4c;2;B;4;c;;;Glyoxylic acid
2B5;2;B;5;;;;Carbide Production
2B5a;2;B;5;a;;;Silicon carbide
2B5b;2;B;5;b;;;Calcium carbide
2B6;2;B;6;;;;Titanium dioxide production
2B7;2;B;7;;;;Soda Ash Production
2B8;2;B;8;;;;Petrochemical and Carbon Black Production
2B8a;2;B;8;a;;;Methanol
2B8b;2;B;8;b;;;Ethylene
2B8c;2;B;8;c;;;Ethylene dichloride and vinyl chloride monomer
2B8d;2;B;8;d;;;Ethylene oxide
2B8e;2;B;8;e;;;Acrylonitrile
2B8f;2;B;8;f;;;Carbon Black 
2B8g;2;B;8;g;;;Other
2B9;2;B;9;;;;Fluorochemical Production
2B9a;2;B;9;a;;;By-Product Emissions
2B9a1;2;B;9;a;1;;Production of HCFC-22
2B9b;2;B;9;b;;;Fugitive Emissions
2B9b3;2;B;9;b;3;;Fugitive Emissions - Other
2B9b3i0;2;B;9;b;3;i0;Production of HFC-143a
2B9b3i1;2;B;9;b;3;i1;Production of HFC-227ea
2B9b3i2;2;B;9;b;3;i2;Production of HFC-32
2C;2;C;;;;;Metal Industry
2C1;2;C;1;;;;Iron and Steel Production
2C1a;2;C;1;a;;;Steel
2C1b;2;C;1;b;;;Pig iron
2C1d;2;C;1;d;;;Sinter
2C1f;2;C;1;f;;;Other (please specify)
2C2;2;C;2;;;;Ferroalloys production
2C3;2;C;3;;;;Aluminium Production
2C3a;2;C;3;a;;;Aluminium Production / CO2 Emissions
2C3b;2;C;3;b;;;Aluminium Production /  PFC
2C3c;2;C;3;c;;;Aluminium Production /  F-gases used in foundries
2C4;2;C;4;;;;Magnesium production
2C5;2;C;5;;;;Lead Production
2C6;2;C;6;;;;Zinc production
2C7;2;C;7;;;;Other (please specify)
2D;2;D;;;;;Non-Energy Products from Fuels and Solvent Use
2D1;2;D;1;;;;Lubricant Use
2D2;2;D;2;;;;Paraffin wax use
2D3;2;D;3;;;;Other (please specify)
2D3a;2;D;3;a;;;Asphalt roofing
2D3b;2;D;3;b;;;Road paving with asphalt
2D3c;2;D;3;c;;;Solvent use
2D3d;2;D;3;d;;;Urea based catalytic converter
2F;2;F;;;;;Product Uses as Substitutes for Ozone Depleting Substances
2F1;2;F;1;;;;Refrigeration and Air Conditioning
2F1a;2;F;1;a;;;Commercial refrigeration
2F1a1;2;F;1;a;1;;Commercial refrigeration / Manufacture
2F1a2;2;F;1;a;2;;Commercial refrigeration / Stock
2F1a3;2;F;1;a;3;;Commercial refrigeration / Disposal
2F1b;2;F;1;b;;;Domestic refrigeration
2F1b1;2;F;1;b;1;;Domestic refrigeration / Manufacture
2F1b2;2;F;1;b;2;;Domestic refrigeration / Stock
2F1b3;2;F;1;b;3;;Domestic refrigeration / Disposal
2F1c;2;F;1;c;;;Industrial refrigeration
2F1c1;2;F;1;c;1;;Industrial refrigeration / Manufacture
2F1c2;2;F;1;c;2;;Industrial refrigeration / Stock
2F1c3;2;F;1;c;3;;Industrial refrigeration / Disposal
2F1d;2;F;1;d;;;Transport refrigeration
2F1d1;2;F;1;d;1;;Transport refrigeration / Manufacture
2F1d2;2;F;1;d;2;;Transport refrigeration / Stock
2F1d3;2;F;1;d;3;;Transport refrigeration / Disposal
2F1e;2;F;1;e;;;Mobile air-conditioning
2F1e1;2;F;1;e;1;;Mobile air-conditioning / Manufacture
2F1e2;2;F;1;e;2;;Mobile air-conditioning / Stock
2F1e3;2;F;1;e;3;;Mobile air-conditioning / Disposal
2F1f;2;F;1;f;;;Stationary air-conditioning
2F1f1;2;F;1;f;1;;Stationary air-conditioning / Manufacture
2F1f2;2;F;1;f;2;;Stationary air-conditioning / Stock
2F1f3;2;F;1;f;3;;Stationary air-conditioning / Disposal
2F2;2;F;2;;;;Foam Blowing Agents
2F2a;2;F;2;a;;;Foam Blowing Agents. Closed cells
2F2ai;2;F;2;a;i;;Foam Blowing Agents. Closed cells / Manufacture
2F2aii;2;F;2;a;ii;;Foam Blowing Agents. Closed cells / Stock
2F3;2;F;3;;;;Fire protection
2F3a;2;F;3;a;;;Fire protection / Manufacture
2F3b;2;F;3;b;;;Fire protection / Stock
2F3c;2;F;3;c;;;Fire protection / Disposal
2F4;2;F;4;;;;Aerosols
2F4a;2;F;4;a;;;Metered Dose Inhalers
2F4ai;2;F;4;a;i;;Metered Dose Inhalers / Manufacture
2F4aii;2;F;4;a;ii;;Metered Dose Inhalers / Stock
2F4b;2;F;4;b;;;Other (Dommestic and industrial applications)
2F4bi;2;F;4;b;i;;Other (Dommestic and industrial applications) / Manufacture
2F4bii;2;F;4;b;ii;;Other (Dommestic and industrial applications) / Stock
2F5;2;F;5;;;;Solvents
2G;2;G;;;;;OTHER PRODUCT MANUFACTURE AND USE
